rank,k_distance
647,0.45542532526076906
648,0.4555305789896632
649,0.45583929796208444
650,0.4563172454525588
651,0.4567924345537703
652,0.4568070388744566
653,0.45707320116755856
654,0.45726729295403445
655,0.4573295479347592
656,0.4573363556332223
657,0.4574753818791495
658,0.4574906529536392
659,0.45751589167134166
660,0.45755380175166505
661,0.45761607363599277
662,0.45761704475409537
663,0.4576707806661764
664,0.45778416902406605
665,0.4579289406764394
666,0.4579460459539352
667,0.45799652528239543
668,0.45809555632267307
669,0.45810257448319713
670,0.4583791792996821
671,0.4584243468527692
672,0.4587014273664278
673,0.4587988852214675
674,0.4588761637397176
675,0.45895426286447416
676,0.45926222518826376
677,0.45935434045337675
678,0.45938931889977697
679,0.4594399650164882
680,0.45952574757156517
681,0.4596308613759611
682,0.4597624910627406
683,0.45977453690390113
684,0.45978518543776536
685,0.45990895564126655
686,0.4601413765314054
687,0.46033790857233525
688,0.46075905435683584
689,0.4608328209278181
690,0.460868502134019
691,0.46096952442265116
692,0.4609707017226079
693,0.4612034135055465
694,0.4613830312070023
695,0.4614462659323755
696,0.46161791290218057
697,0.461658801784232
698,0.4617533238325513
699,0.4619226369165159
700,0.4619444445244475
701,0.4619489226398461
702,0.4624207496514714
703,0.4624241195921045
704,0.46242672222851755
705,0.46243017919154095
706,0.4625620899510523
707,0.4626235871158152
708,0.46272943465056826
709,0.4627662500667221
710,0.46285356204384887
711,0.46286729674996796
712,0.4628755997042666
713,0.46301991880382054
714,0.4630308292973848
715,0.46303939841247077
716,0.46315937023650966
717,0.46344686010351754
718,0.46365509480579636
719,0.46377249482474714
720,0.46391333427210424
721,0.46408766152436765
722,0.46413034496036165
723,0.4641471754207255
724,0.4647508598541964
725,0.4648704318309378
726,0.46496335203878136
727,0.4650102149591506
728,0.4651443847763568
729,0.46526204718731723
730,0.46540441809074584
731,0.465708440700788
732,0.4659618995154722
733,0.46600526576326007
734,0.46608157941001604
735,0.46615348410821944
736,0.46650853251130364
737,0.466540092008231
738,0.4665704382619589
739,0.4666325830788248
740,0.46668617239272703
741,0.4669521154423859
742,0.4670331109906304
743,0.46721515450689466
744,0.46725473717899413
745,0.46737559705274223
746,0.46749287127305694
747,0.4675881833449085
748,0.4675932600608851
749,0.46785746646382576
750,0.46791325150863017
751,0.46807985617900516
752,0.4680993840558937
753,0.4681235615180712
754,0.46843492317134494
755,0.4685020066487914
756,0.46865926158274707
757,0.4687209261273245
758,0.4688271011069889
759,0.4688930273579921
760,0.468951750988141
761,0.46928712152223917
762,0.4692901593585349
763,0.46933572786219135
764,0.469495534344447
765,0.4696368157297247
766,0.46964814761239526
767,0.4701514216965923
768,0.4703718276126386
769,0.4704646747494592
770,0.4705020758307885
771,0.470503105162818
772,0.47051796383063105
773,0.4705524823665256
774,0.47062925799161004
775,0.4706965709396468
776,0.470829903613304
777,0.4708925315021827
778,0.47102018651417954
779,0.47109283138485347
780,0.4713944720896194
781,0.4714698255326444
782,0.4714888003070373
783,0.4715034969141123
784,0.47168441905901126
785,0.4716858985016229
786,0.4718966475917893
787,0.47206540247599726
788,0.4721240933974302
789,0.47224867775976
790,0.4723148032489869
791,0.472360534853677
792,0.47239852397032456
793,0.472611506921108
794,0.47281788815796444
795,0.4730697242829107
796,0.47307786463759516
797,0.473100523760969
798,0.47335197995283906
799,0.4734325385868703
800,0.47345537642063695
801,0.47349562221466834
802,0.473709934711082
803,0.4737159994710406
804,0.47372670099023106
805,0.47374594641684586
806,0.47388093815566246
807,0.47393604048596416
808,0.47421686556755993
809,0.4742288623859061
810,0.47439570756558413
811,0.47459847871688265
812,0.47471854087466525
813,0.47492247874201166
814,0.4749415438774933
815,0.47501316529275195
816,0.4751272449755336
817,0.4752907063181292
818,0.4753474153360696
819,0.4754002056630532
820,0.47562400692605067
821,0.47564332309778135
822,0.47573381056913666
823,0.4757352231571742
824,0.4757823157624972
825,0.47584778483679124
826,0.4760039949149305
827,0.4760494145758818
828,0.47617866654398044
829,0.4761928519354628
830,0.47624603185021297
831,0.4765989763977758
832,0.4768321031777718
833,0.4768501084792859
834,0.47685899900507533
835,0.4772064683774211
836,0.4774632388888628
837,0.4775168418578699
838,0.4775569660880089
839,0.47771643681172615
840,0.47796382920251446
841,0.4780336814715964
842,0.4780687793124194
843,0.47847797011959614
844,0.4786569867394932
845,0.47869834418626467
846,0.47873877436173473
847,0.4787622827964866
848,0.4787714617720631
849,0.47914817272610577
850,0.47920335954154114
851,0.47924885682572005
852,0.4795047305507839
853,0.4795367331534177
854,0.479642343195229
855,0.47977029609072297
856,0.47992574128838816
857,0.4799579278518733
858,0.4800120402442568
859,0.4800788908691236
860,0.48010201027703003
861,0.48011029817182516
862,0.48017926703208713
863,0.48022687185365154
864,0.4803076954939317
865,0.48040586633896865
866,0.4804575436424585
867,0.4807473932858456
868,0.4810534185108477
869,0.4811213496647283
870,0.4813832607414401
871,0.48139853505044516
872,0.48152829866471936
873,0.48167035533004443
874,0.48177597492276814
875,0.4818315148228095
876,0.48195021993423026
877,0.4819616707852905
878,0.4820266457896364
879,0.482279571136778
880,0.48280539806942524
881,0.48283130900495397
882,0.48329528692298507
883,0.48345222128464305
884,0.4834714104025619
885,0.4837345510448894
886,0.4837967267864427
887,0.4838253474291756
888,0.48391252963313003
889,0.4839187654118946
890,0.4839835453485113
891,0.4839879441928907
892,0.4844126908930244
893,0.48466971746464615
894,0.4846905257838142
895,0.4848233745319751
896,0.48482774278345797
897,0.4849043244034451
898,0.48499265236786837
899,0.48500714742606355
900,0.48501136195116756
901,0.48501754063136904
902,0.48510544734548366
903,0.48520214535484074
904,0.48529613745720934
905,0.48530685461022616
906,0.48534197019354375
907,0.48550121945298774
908,0.4856399737321542
909,0.4860868376029356
910,0.4861811178151555
911,0.48618261482465785
912,0.48629488920490316
913,0.4863661813750453
914,0.486376487383096
915,0.48659849097915364
916,0.48660352127424955
917,0.4867070638548481
918,0.48680730765447977
919,0.4869983312770916
920,0.48710933883544383
921,0.4872153264085958
922,0.4873178550793097
923,0.4873229819808096
924,0.4874819735522463
925,0.487494352046274
926,0.4875203917402786
927,0.4876165392104824
928,0.48764726922797963
929,0.4876633612552136
930,0.4878982699663311
931,0.4880017609616656
932,0.4880195280998545
933,0.48802626826528284
934,0.4880502480699239
935,0.4880868982379829
936,0.4880985540313285
937,0.4881667603541451
938,0.4882114589024612
939,0.4882766943357346
940,0.48829186212281617
941,0.4883551863515253
942,0.48841266530756566
943,0.4885260354889378
944,0.48861587320885913
945,0.4887209773379597
946,0.48913240011728787
947,0.48914115586840456
948,0.4895580337659995
949,0.4898807347074794
950,0.4899214091507643
951,0.49018332949675514
952,0.49035089936435905
953,0.49036500870056465
954,0.49042630233612217
955,0.49062035666139847
956,0.4908390370772383
957,0.49090663029820314
958,0.4912909624540147
959,0.49150383342833315
960,0.4918649304686932
961,0.4920982264504593
962,0.49230115829718046
963,0.4924167974537247
964,0.4924408268934082
965,0.492441181217814
966,0.49257584524756104
967,0.49262385986572843
968,0.49269758273627917
969,0.49292953415520524
970,0.49301780903247727
971,0.4930479861624749
972,0.4931647855869037
973,0.49327151514665335
974,0.49337629318644693
975,0.49339931515046653
976,0.49347268250716236
977,0.49371799401104355
978,0.49382454421062605
979,0.4938550268479919
980,0.493896780218937
981,0.49390973834128815
982,0.4939456512996637
983,0.49403747520517005
984,0.49411807708074484
985,0.494160534818305
986,0.49417969428294817
987,0.49421056214800463
988,0.4942752807051769
989,0.49437138033777905
990,0.4944176266708098
991,0.4945005046185904
992,0.4946245934447786
993,0.49467820233613236
994,0.4948584027138083
995,0.4949177623936909
996,0.49492123032004565
997,0.49503134320055153
998,0.4950390304398108
999,0.4953425360446374
1000,0.4953993202506227
1001,0.4954288942746934
1002,0.495513818254519
1003,0.4955528959036667
1004,0.495670479138831
1005,0.49599367192424515
1006,0.49616642743611783
1007,0.4962686110090948
1008,0.49627359387540293
1009,0.49657783881709194
1010,0.49661433918259534
1011,0.49666874284330775
1012,0.4968054262881533
1013,0.4968146016086651
1014,0.49685148904829324
1015,0.49687714057256427
1016,0.4969003895209638
1017,0.49690975531956605
1018,0.4969807778146995
1019,0.4972654874615403
1020,0.49734486592607974
1021,0.49754950228686323
1022,0.4977438671991924
1023,0.497921219609214
1024,0.49793077493885285
1025,0.4979775669358226
1026,0.4981217820814563
1027,0.49813406559485773
1028,0.4981981252497164
1029,0.49832413006720144
1030,0.49845929681074597
1031,0.49859865120969915
1032,0.49868963572170966
1033,0.4987033847132353
1034,0.4987037475809606
1035,0.49877296820394834
1036,0.49878835390420473
1037,0.4988719989247753
1038,0.49899873317094967
1039,0.4991089513396446
1040,0.49911545982868155
1041,0.49912186207562703
1042,0.49929796997676523
1043,0.49940141610549815
1044,0.499572290558541
1045,0.4996288871091379
1046,0.49971132874880886
1047,0.4998277479424177
1048,0.4998284278759384
1049,0.4998736543283342
1050,0.500264149754861
1051,0.5002656174360627
1052,0.5002721216579471
1053,0.5002765000854503
1054,0.5003431054550094
1055,0.5003530529036165
1056,0.5004415711347121
1057,0.5005511609844875
1058,0.5006686024173692
1059,0.5008248385080938
1060,0.5008880342986901
1061,0.5009081505801661
1062,0.5012566982489095
1063,0.5013737120421672
1064,0.5014945994170061
1065,0.5014982335996154
1066,0.5015240851091303
1067,0.5015316014481332
1068,0.5015317516063247
1069,0.5015653258003897
1070,0.5015939209093478
1071,0.5015981449769813
1072,0.501741322152843
1073,0.5018351653023166
1074,0.5018515042791294
1075,0.5019548814883388
1076,0.5019753244133659
1077,0.5020306276532879
1078,0.5020907409925277
1079,0.5021255625661161
1080,0.5021754370159828
1081,0.5022132508780213
1082,0.5022514182503086
1083,0.5023761056119502
1084,0.5025599808870731
1085,0.5025648376376342
1086,0.5026017792144377
1087,0.5028149626293159
1088,0.5030824926039081
1089,0.5031422653442464
1090,0.5032164349303359
1091,0.5033573092146485
1092,0.5033794326276161
1093,0.5034312306095221
1094,0.5034851833038165
1095,0.5035197816918123
1096,0.5036830466297817
1097,0.5038179679317618
1098,0.5038767450741474
1099,0.5039303382728408
1100,0.5039618366852712
1101,0.5040430363374497
1102,0.5040529124339074
1103,0.504118473964106
1104,0.5041200327343791
1105,0.5041653348269657
1106,0.504359887699163
1107,0.504367533560394
1108,0.5043753971749716
1109,0.5044740176392284
1110,0.504506335429646
1111,0.504670173958639
1112,0.5047435751154556
