run_key,space_name,dimensions,preprocessing,metric,min_samples,eps_percentile,eps,n_points,n_clusters,noise_count,noise_share,clustered_count,clustered_share,largest_cluster_size,largest_cluster_share_all,largest_cluster_share_clustered,smallest_cluster_size,median_cluster_size,mean_cluster_size
item_run_0097,item_pca10_l2_cosine,10,pca10_l2,cosine,11,2.5,0.01292,3250,1,3064,0.9427692307692308,186,0.05723076923076923,186,0.05723076923076923,1.0,186,186.0,186.0
item_run_0098,item_pca10_l2_cosine,10,pca10_l2,cosine,11,5.0,0.016984,3250,1,2946,0.9064615384615384,304,0.09353846153846154,304,0.09353846153846154,1.0,304,304.0,304.0
item_run_0099,item_pca10_l2_cosine,10,pca10_l2,cosine,11,10.0,0.025552,3250,3,2729,0.8396923076923077,521,0.16030769230769232,457,0.14061538461538461,0.8771593090211133,10,54.0,173.66666666666666
item_run_0100,item_pca10_l2_cosine,10,pca10_l2,cosine,11,15.0,0.035169,3250,2,2468,0.7593846153846154,782,0.24061538461538462,577,0.17753846153846153,0.7378516624040921,205,391.0,391.0
item_run_0101,item_pca10_l2_cosine,10,pca10_l2,cosine,11,20.0,0.042833,3250,2,2290,0.7046153846153846,960,0.2953846153846154,648,0.19938461538461538,0.675,312,480.0,480.0
item_run_0102,item_pca10_l2_cosine,10,pca10_l2,cosine,11,25.0,0.052998,3250,2,2071,0.6372307692307693,1179,0.3627692307692308,736,0.22646153846153846,0.6242578456318915,443,589.5,589.5
item_run_0103,item_pca10_l2_cosine,10,pca10_l2,cosine,11,30.0,0.063005,3250,2,1868,0.5747692307692308,1382,0.42523076923076925,817,0.2513846153846154,0.5911722141823444,565,691.0,691.0
item_run_0104,item_pca10_l2_cosine,10,pca10_l2,cosine,11,35.0,0.073088,3250,2,1691,0.5203076923076924,1559,0.4796923076923077,886,0.2726153846153846,0.568313021167415,673,779.5,779.5
item_run_0105,item_pca10_l2_cosine,10,pca10_l2,cosine,11,40.0,0.084055,3250,2,1491,0.45876923076923076,1759,0.5412307692307692,959,0.29507692307692307,0.5451961341671404,800,879.5,879.5
item_run_0106,item_pca10_l2_cosine,10,pca10_l2,cosine,11,45.0,0.094493,3250,2,1308,0.4024615384615385,1942,0.5975384615384616,1025,0.3153846153846154,0.527806385169928,917,971.0,971.0
item_run_0107,item_pca10_l2_cosine,10,pca10_l2,cosine,11,50.0,0.1058,3250,2,1116,0.3433846153846154,2134,0.6566153846153846,1108,0.34092307692307694,0.5192127460168697,1026,1067.0,1067.0
item_run_0108,item_pca10_l2_cosine,10,pca10_l2,cosine,11,60.0,0.132,3250,2,749,0.23046153846153847,2501,0.7695384615384615,2489,0.7658461538461538,0.995201919232307,12,1250.5,1250.5
item_run_0109,item_pca10_l2_cosine,10,pca10_l2,cosine,11,70.0,0.159233,3250,1,466,0.1433846153846154,2784,0.8566153846153847,2784,0.8566153846153847,1.0,2784,2784.0,2784.0
item_run_0110,item_pca10_l2_cosine,10,pca10_l2,cosine,11,80.0,0.194016,3250,1,241,0.07415384615384615,3009,0.9258461538461539,3009,0.9258461538461539,1.0,3009,3009.0,3009.0
item_run_0111,item_pca10_l2_cosine,10,pca10_l2,cosine,11,85.0,0.216288,3250,1,129,0.03969230769230769,3121,0.9603076923076923,3121,0.9603076923076923,1.0,3121,3121.0,3121.0
item_run_0112,item_pca10_l2_cosine,10,pca10_l2,cosine,11,90.0,0.244047,3250,1,61,0.01876923076923077,3189,0.9812307692307692,3189,0.9812307692307692,1.0,3189,3189.0,3189.0
item_run_0113,item_pca10_l2_cosine,10,pca10_l2,cosine,11,95.0,0.282269,3250,1,15,0.004615384615384616,3235,0.9953846153846154,3235,0.9953846153846154,1.0,3235,3235.0,3235.0
item_run_0114,item_pca10_l2_cosine,10,pca10_l2,cosine,11,99.0,0.349374,3250,1,0,0.0,3250,1.0,3250,1.0,1.0,3250,3250.0,3250.0
item_run_0115,item_pca10_l2_cosine,10,pca10_l2,cosine,20,1.0,0.013154,3250,1,3106,0.9556923076923077,144,0.044307692307692305,144,0.044307692307692305,1.0,144,144.0,144.0
item_run_0116,item_pca10_l2_cosine,10,pca10_l2,cosine,20,2.5,0.016123,3250,1,3008,0.9255384615384615,242,0.07446153846153847,242,0.07446153846153847,1.0,242,242.0,242.0
item_run_0117,item_pca10_l2_cosine,10,pca10_l2,cosine,20,5.0,0.020425,3250,1,2905,0.8938461538461538,345,0.10615384615384615,345,0.10615384615384615,1.0,345,345.0,345.0
item_run_0118,item_pca10_l2_cosine,10,pca10_l2,cosine,20,10.0,0.030524,3250,2,2688,0.827076923076923,562,0.17292307692307693,503,0.15476923076923077,0.895017793594306,59,281.0,281.0
item_run_0119,item_pca10_l2_cosine,10,pca10_l2,cosine,20,15.0,0.041859,3250,2,2413,0.7424615384615385,837,0.25753846153846155,619,0.19046153846153846,0.7395459976105138,218,418.5,418.5
item_run_0120,item_pca10_l2_cosine,10,pca10_l2,cosine,20,20.0,0.051328,3250,2,2186,0.6726153846153846,1064,0.3273846153846154,704,0.21661538461538463,0.6616541353383458,360,532.0,532.0
item_run_0121,item_pca10_l2_cosine,10,pca10_l2,cosine,20,25.0,0.062617,3250,2,1969,0.6058461538461538,1281,0.39415384615384613,785,0.24153846153846154,0.6128024980483997,496,640.5,640.5
item_run_0122,item_pca10_l2_cosine,10,pca10_l2,cosine,20,30.0,0.073426,3250,2,1768,0.544,1482,0.456,859,0.2643076923076923,0.5796221322537112,623,741.0,741.0
item_run_0123,item_pca10_l2_cosine,10,pca10_l2,cosine,20,35.0,0.086155,3250,2,1578,0.48553846153846153,1672,0.5144615384615384,940,0.28923076923076924,0.562200956937799,732,836.0,836.0
item_run_0124,item_pca10_l2_cosine,10,pca10_l2,cosine,20,40.0,0.098481,3250,2,1410,0.4338461538461538,1840,0.5661538461538461,1000,0.3076923076923077,0.5434782608695652,840,920.0,920.0
item_run_0125,item_pca10_l2_cosine,10,pca10_l2,cosine,20,45.0,0.110731,3250,2,1200,0.36923076923076925,2050,0.6307692307692307,1072,0.32984615384615384,0.5229268292682927,978,1025.0,1025.0
item_run_0126,item_pca10_l2_cosine,10,pca10_l2,cosine,20,50.0,0.125976,3250,2,1002,0.3083076923076923,2248,0.6916923076923077,1153,0.3547692307692308,0.5129003558718861,1095,1124.0,1124.0
