user_idx,user_id,user_cluster,score_source,precision_10,recall_10,hit_rate_10,ndcg_10
1508,1934,1,mf,0.0,0.0,0.0,0.0
1508,1934,1,rating_user_knn,0.0,0.0,0.0,0.0
1509,1935,0,mf,0.0,0.0,0.0,0.0
1509,1935,0,rating_user_knn,0.0,0.0,0.0,0.0
1510,1937,-1,mf,0.0,0.0,0.0,0.0
1510,1937,-1,rating_user_knn,0.0,0.0,0.0,0.0
1511,1938,-1,mf,0.0,0.0,0.0,0.0
1511,1938,-1,rating_user_knn,0.0,0.0,0.0,0.0
1512,1939,-1,mf,0.1,0.08333333333333333,1.0,0.1100458831490401
1512,1939,-1,rating_user_knn,0.0,0.0,0.0,0.0
1513,1940,0,mf,0.0,0.0,0.0,0.0
1513,1940,0,rating_user_knn,0.0,0.0,0.0,0.0
1514,1941,0,mf,0.1,0.034482758620689655,1.0,0.1100458831490401
1514,1941,0,rating_user_knn,0.0,0.0,0.0,0.0
1515,1942,1,mf,0.0,0.0,0.0,0.0
1515,1942,1,rating_user_knn,0.0,0.0,0.0,0.0
1516,1943,-1,mf,0.2,0.046511627906976744,1.0,0.17318663334822615
1516,1943,-1,rating_user_knn,0.0,0.0,0.0,0.0
1517,1944,-1,mf,0.0,0.0,0.0,0.0
1517,1944,-1,rating_user_knn,0.0,0.0,0.0,0.0
1518,1945,-1,mf,0.0,0.0,0.0,0.0
1518,1945,-1,rating_user_knn,0.0,0.0,0.0,0.0
1519,1946,1,mf,0.0,0.0,0.0,0.0
1519,1946,1,rating_user_knn,0.1,0.2,1.0,0.13120507751234178
1520,1947,1,mf,0.0,0.0,0.0,0.0
1520,1947,1,rating_user_knn,0.0,0.0,0.0,0.0
1522,1949,-1,mf,0.0,0.0,0.0,0.0
1522,1949,-1,rating_user_knn,0.1,0.16666666666666666,1.0,0.30260241349881345
1523,1950,-1,mf,0.0,0.0,0.0,0.0
1523,1950,-1,rating_user_knn,0.1,0.2,1.0,0.10699313236726378
1524,1951,1,mf,0.0,0.0,0.0,0.0
1524,1951,1,rating_user_knn,0.0,0.0,0.0,0.0
1525,1952,-1,mf,0.0,0.0,0.0,0.0
1525,1952,-1,rating_user_knn,0.0,0.0,0.0,0.0
1526,1954,-1,mf,0.0,0.0,0.0,0.0
1526,1954,-1,rating_user_knn,0.0,0.0,0.0,0.0
1527,1955,1,mf,0.0,0.0,0.0,0.0
1527,1955,1,rating_user_knn,0.0,0.0,0.0,0.0
1528,1956,1,mf,0.0,0.0,0.0,0.0
1528,1956,1,rating_user_knn,0.0,0.0,0.0,0.0
1529,1957,0,mf,0.0,0.0,0.0,0.0
1529,1957,0,rating_user_knn,0.0,0.0,0.0,0.0
1530,1958,0,mf,0.0,0.0,0.0,0.0
1530,1958,0,rating_user_knn,0.0,0.0,0.0,0.0
1531,1959,1,mf,0.0,0.0,0.0,0.0
1531,1959,1,rating_user_knn,0.1,0.2,1.0,0.3391602052736161
1532,1960,-1,mf,0.1,0.07692307692307693,1.0,0.06362078819895173
1532,1960,-1,rating_user_knn,0.0,0.0,0.0,0.0
1533,1961,-1,mf,0.0,0.0,0.0,0.0
1533,1961,-1,rating_user_knn,0.0,0.0,0.0,0.0
1534,1962,-1,mf,0.0,0.0,0.0,0.0
1534,1962,-1,rating_user_knn,0.0,0.0,0.0,0.0
1535,1963,0,mf,0.0,0.0,0.0,0.0
1535,1963,0,rating_user_knn,0.0,0.0,0.0,0.0
1536,1965,0,mf,0.0,0.0,0.0,0.0
1536,1965,0,rating_user_knn,0.0,0.0,0.0,0.0
1537,1966,1,mf,0.0,0.0,0.0,0.0
1537,1966,1,rating_user_knn,0.0,0.0,0.0,0.0
1538,1968,-1,mf,0.1,0.3333333333333333,1.0,0.16716045496620227
1538,1968,-1,rating_user_knn,0.0,0.0,0.0,0.0
1539,1969,-1,mf,0.1,0.034482758620689655,1.0,0.13886244387355456
1539,1969,-1,rating_user_knn,0.0,0.0,0.0,0.0
1540,1970,1,mf,0.0,0.0,0.0,0.0
1540,1970,1,rating_user_knn,0.0,0.0,0.0,0.0
1541,1972,-1,mf,0.0,0.0,0.0,0.0
1541,1972,-1,rating_user_knn,0.0,0.0,0.0,0.0
1542,1974,1,mf,0.0,0.0,0.0,0.0
1542,1974,1,rating_user_knn,0.1,0.030303030303030304,1.0,0.09478836436955079
1543,1975,0,mf,0.0,0.0,0.0,0.0
1543,1975,0,rating_user_knn,0.0,0.0,0.0,0.0
1544,1976,0,mf,0.0,0.0,0.0,0.0
1544,1976,0,rating_user_knn,0.0,0.0,0.0,0.0
1545,1977,0,mf,0.0,0.0,0.0,0.0
1545,1977,0,rating_user_knn,0.0,0.0,0.0,0.0
1546,1978,0,mf,0.3,0.3,1.0,0.2369053087196564
1546,1978,0,rating_user_knn,0.0,0.0,0.0,0.0
1547,1980,1,mf,0.2,0.03333333333333333,1.0,0.17366667134799182
1547,1980,1,rating_user_knn,0.0,0.0,0.0,0.0
1548,1981,-1,mf,0.1,0.14285714285714285,1.0,0.13743816645714543
1548,1981,-1,rating_user_knn,0.0,0.0,0.0,0.0
1549,1982,1,mf,0.0,0.0,0.0,0.0
1549,1982,1,rating_user_knn,0.0,0.0,0.0,0.0
1550,1983,1,mf,0.0,0.0,0.0,0.0
